seed,alpha,bandwidth,top1_all_mean,top1_all_std,top1_dom_mean,top1_dom_std,mae_mean,r2_mean,threshold_met
7,0.3,8.0,0.974,0.0058309518948453055,0.9870719638099421,0.0071596817406423905,0.016602789535317776,0.9946931835904482,True
7,0.3,10.0,0.974,0.0058309518948453055,0.9870719638099421,0.0071596817406423905,0.01661315054659688,0.9946929640811133,True
7,0.3,12.0,0.975,0.006324555320336764,0.9881589203316814,0.007775723596231675,0.016631330709527093,0.9946902237395598,True
7,0.3,15.0,0.975,0.006324555320336764,0.9881589203316814,0.007775723596231675,0.016692957286045584,0.9946737680597895,True
7,0.3,20.0,0.977,0.006000000000000005,0.9892458768534205,0.00820364329443922,0.017141875857372715,0.9945184411483355,True
7,0.5,8.0,0.9790000000000001,0.0037416573867739447,0.9920176008201663,0.004517750765525817,0.019621190551924964,0.9916021969359529,True
7,0.5,10.0,0.9790000000000001,0.0037416573867739447,0.9920176008201663,0.004517750765525817,0.01963155059707132,0.9915932544780063,True
7,0.5,12.0,0.9800000000000001,0.004472135954999583,0.9920176008201663,0.004517750765525817,0.01964945814187586,0.9915783672189733,True
7,0.5,15.0,0.9810000000000001,0.0037416573867739447,0.9931411963257843,0.004260114775508954,0.019712697495690015,0.9915326055585266,True
7,0.5,20.0,0.9810000000000001,0.0058309518948453055,0.9920112528229594,0.005769834683305387,0.02010065847286656,0.9912640103665625,True
7,1.0,8.0,0.95,0.015811388300841875,0.988075623369741,0.007729344699500554,0.023644224270458675,0.9823886204999237,True
7,1.0,10.0,0.9480000000000001,0.015999999999999966,0.988075623369741,0.007729344699500554,0.023660411207548002,0.9823722394419938,True
7,1.0,12.0,0.9490000000000001,0.014628738838327757,0.9893828129122246,0.006818376151817579,0.023688353129710214,0.9823413897123396,True
7,1.0,15.0,0.9490000000000001,0.014628738838327757,0.9893828129122246,0.006818376151817579,0.023777559237486545,0.982242840503147,True
7,1.0,20.0,0.9480000000000001,0.008124038404635932,0.9893386511033568,0.006878346046169375,0.0242238343123528,0.9817399473428938,True
13,0.3,8.0,0.968,0.010770329614269018,0.9796632975531857,0.00754922203725378,0.015991271116613432,0.9950208836053408,True
13,0.3,10.0,0.967,0.009273618495495713,0.9786050964949846,0.006389449176458654,0.01599813897826907,0.9950169365595132,True
13,0.3,12.0,0.967,0.009273618495495713,0.9786050964949846,0.006389449176458654,0.016012859451045032,0.995007774863657,True
13,0.3,15.0,0.967,0.009273618495495713,0.9786050964949846,0.006389449176458654,0.016080609729528593,0.994973873394331,True
